number of players:,4
number of candidates:,3
game ended after:,the turns are over
time,player,vote,current winner,points player1,points player2,points player3,points player4
3/11/2014 4:06:53 PM,0,Backdraft,Backdraft,100,100,40,100
3/11/2014 4:06:56 PM,1,Hart's War,Hart's War Backdraft,70,70,70,55
3/11/2014 4:07:00 PM,2,Hart's War,Hart's War,40,40,100,10
3/11/2014 4:07:06 PM,3,I Still Know What You Did Last Summer,Hart's War,40,40,100,10
3/11/2014 4:07:08 PM,0,Hart's War,Hart's War,40,40,100,10
3/11/2014 4:07:12 PM,1,Hart's War,Hart's War,40,40,100,10
3/11/2014 4:07:15 PM,2,Backdraft,Hart's War,40,40,100,10
3/11/2014 4:07:17 PM,3,I Still Know What You Did Last Summer,Hart's War,40,40,100,10
3/11/2014 4:07:19 PM,0,Hart's War,Hart's War,40,40,100,10
3/11/2014 4:07:22 PM,1,Hart's War,Hart's War,40,40,100,10
3/11/2014 4:07:23 PM,2,Hart's War,Hart's War,40,40,100,10
3/11/2014 4:07:25 PM,3,Hart's War,Hart's War,40,40,100,10
3/11/2014 4:07:30 PM,0,Backdraft,Hart's War,40,40,100,10
3/11/2014 4:07:33 PM,1,I Still Know What You Did Last Summer,Hart's War,40,40,100,10
3/11/2014 4:07:36 PM,2,Backdraft,Backdraft,100,100,40,100
